artista,cancion,album,año,spotify_id,popularidad
Twenty One Pilots,My Blood,Trench,2018,5HeKOKc4phmLn8e4I7EkzD,66
Tame Impala,Is It True,The Slow Rush,2020,6RZmhpvukfyeSURhf4kZ0d,68
Robbie Williams,Christmas (Baby Please Come Home) (feat. Bryan Adams),The Christmas Present (Deluxe),2019,5MrUeMnwotFhQCLlb2qEZK,56
Rawayana,Sin Ti (feat. La Vida Bohème),Sin Ti (feat. La Vida Bohème),2018,6vLZeNQlHhvJyiUBEzlUQB,61
Mrs. GREEN APPLE,インフェルノ,Attitude,2019,2vOAHp8PBBFYqvQUWSoITY,72
Rammstein,Dicke Titten,Zeit,2022,5KTBaWu8IOczQ0sPWzZ7MY,65
Slipknot,Nero Forte,We Are Not Your Kind,2019,56fiFTRrSiHHH3gBeaTg2P,67
RADWIMPS,Suzume,Suzume (Motion Picture Soundtrack),2022,1n1y2kFPISpF9WGD3JaFo5,66
Imagine Dragons,Symphony,Mercury - Acts 1 & 2,2022,2ThaHV10xrAcL2WfqXyLnp,61
Brett Eldredge,Feels Like Christmas,Mr. Christmas,2021,4ZUUqe1s7focZ76T7b3x9P,65
Måneskin,VENT'ANNI,Teatro d'ira - Vol. I,2021,6Vfo6O3hk38vDcSpazNo3p,58
Hozier,Almost (Sweet Music),"Wasteland, Baby!",2019,7uttm8Iurm5uK67Vr9G2Sp,66
No Te Va Gustar,De Nada Sirve,Otras Canciones,2019,2CFDPiNUxcSOqfQtUHYNxF,61
Lauren Daigle,You Say,Look Up Child,2018,6Up545NUflOiXo8cEraH49,71
Bacilos,Perderme Contigo,¿Dónde Nos Quedamos?,2018,7mHFWWfVlhqGjeIQ5qt9i2,61
We Came As Romans,Black Hole,Darkbloom,2022,1g5Jqwo02PuitYfv19B6Jn,66
U2,Christmas (Baby Please Come Home),I Believe In Father Christmas EP,2021,2wIOEh6QNccqsHYEPZTrRP,65
Tame Impala,One More Hour,The Slow Rush,2020,0mO6oS60RST2sWmN2FKknP,70
LOUTA,QUEREME,QUEREME,2022,0bhWW1Bve1Ng6kEm8WjiQA,59
The Pogues,Fairytale of New York - Edit,100 Greatest Christmas Songs Ever,2022,4MsLmDuHHagdrcfA4S1Cmx,61
We Came As Romans,Black Hole,Darkbloom,2022,1g5Jqwo02PuitYfv19B6Jn,66
U2,Christmas (Baby Please Come Home),I Believe In Father Christmas EP,2021,2wIOEh6QNccqsHYEPZTrRP,65
Tame Impala,One More Hour,The Slow Rush,2020,0mO6oS60RST2sWmN2FKknP,70
LOUTA,QUEREME,QUEREME,2022,0bhWW1Bve1Ng6kEm8WjiQA,59
The Pogues,Fairytale of New York - Edit,100 Greatest Christmas Songs Ever,2022,4MsLmDuHHagdrcfA4S1Cmx,61
Tom Petty,Runnin' Down A Dream,The Best Of Everything - The Definitive Career Spanning Hits Collection 1976-2016,2019,5yAu4njFSdM47dfsTkQPZ2,67
Bee Gees,More Than A Woman,How Can You Mend A Broken Heart,2020,2cX2coZS1PYBfPs8wgbdWE,66
Måneskin,Fear for Nobody,Il ballo della vita,2018,7t3fuKd5h73oppjIgkxZ25,59
Brenda Lee,I'm Gonna Lasso Santa Claus,Classic Years,2019,0YFP835o6oPwwXNVj0LiRP,59
Aimer,残響散歌,残響散歌,2021,7v8wKvNQQIxkugCFFjrkaO,65
Imagine Dragons,Waves,Mercury - Acts 1 & 2,2022,0YbFEoJi7Esa7lhIrEpBjl,60
Fontaines D.C.,I Love You,Skinty Fia,2022,4N8idxy0W2GDaEosAwPOMg,67
Mrs. GREEN APPLE,インフェルノ,インフェルノ,2019,64yajM6CxtLghmgB53VeXT,66
Queen,Under Pressure,Bohemian Rhapsody (The Original Soundtrack),2018,6suU8oBlW4O2pg88tOXgHo,59
