artista,cancion,album,año,spotify_id,popularidad
Camila Cabello,Shameless,Romance,2019,2ogKhhoMClkFXek7ZgxAhN,81
Olivia Rodrigo,"jealousy, jealousy",SOUR,2021,0MMyJUC3WNnFS1lit5pTjk,79
Marshmello,Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,2021,4qu63nuBpdn0qHUHuObEj1,77
Feid,Le Pido a DIOS,SIXDO,2022,4TFNKnMWjcMWzpkSwQrrcu,69
Morat,Enamórate De Alguien Más,¿A Dónde Vamos?,2021,1pDgS6HDNrrIawdhYEvI0s,69
24kGoldn,Mood (feat. iann dior),El Dorado,2021,4jPy3l0RUwlUI9T5XHBW2m,79
Miley Cyrus,Angels Like You,Plastic Hearts,2020,1daDRI9ahBonbWD8YcxOIB,79
Ava Max,Sweet but Psycho,Heaven & Hell,2020,7DnAm9FOTWE3cUvso43HhI,78
Doja Cat,Streets,Hot Pink,2019,60ynsPSSKe6O3sfwRnIBRf,81
BTS,Dynamite,BE,2020,5QDLhrAOJJdNAmCTJ8xMyW,79
Charlie Puth,Attention,Voicenotes,2018,5cF0dROlMOK5uNZtivgu50,80
Piso 21,Puntos Suspensivos,Ubuntu,2018,04cd1MHVq1D8v1nuTZoCdv,72
Imanbek,Belly Dancer,Belly Dancer,2022,7fZBQnc0zXwVybgCIrQQil,76
Greeicy,Destino,Baila,2019,041Kcvnw8nOdq8xiRibPTG,68
Taylor Swift,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),2021,1qrpoAMXodY6895hGKoUpA,79
Lewis Capaldi,Bruises,Divinely Uninspired To A Hellish Extent,2019,4Of7rzpRpV1mWRbhp5rAqG,77
Camilo,Por Primera Vez,Por Primera Vez,2020,0pgj4EzB1XRqgZemoMNG5D,66
Lana Del Rey,Chemtrails Over The Country Club,Chemtrails Over The Country Club,2021,7bPWdJgx8vek7S5i5yAtvG,79
James Hype,Ferrari,Ferrari,2022,4zN21mbAuaD0WqtmaTZZeP,75
The Weeknd,After Hours,After Hours,2020,2p8IUWQDrpjuFltbdgLOag,79
Jul,La bandite,Rien 100 Rien,2019,0goer5e8B6SJaTV2B51k6f,68
Sech,Que Mas Pues - Remix,Sueños,2019,7fODjB7BrQTGqh0hogW6XD,67
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,2019,0RiRZpuVRbi7oqRdSMwhQY,81
Benson Boone,NIGHTS LIKE THESE,Walk Me Home...,2022,33vZRjxJScapmRShRJq8I0,77
